Id,Project Id,Armour Type,Armour Slope [v:h],Armour Density [kg/m3],Armour Mass [kg],Water Density [kg/m3],Offshore Significant Wave Height [m],Offshore Bed Elevation [m Datum],Average slope between offshore wave location and in front of Section [v:h],Significant Wave Height at Toe [m],Bed Elevation at Toe [m Datum],Peak Wave Period [s],Number of Waves [-],Crest Level [m Datum],Water Level [ m Datum],Notional Permeability [-],Damage [%]
35,6,XBLOC,3:04,2365,3600,1020,7,-11.5, 1:52,4.7,-4,14.1,1000,9,5.9,0.1,1
36,6,XBLOC,3:04,2365,3600,1020,6.9,-11.5, 1:52,4.4,-4,12.3,1000,11,4.9,0.1,0
37,6,XBLOC,3:04,2365,3600,1020,7,-11.5, 1:52,4.7,-4,14.1,1000,11,5.9,0.1,0
38,7,XBLOC,3:04,2365,2400,1020,4.2,-4, 1:40,3.3,-3,10.6,1000,11,4.5,0.1,0
39,7,XBLOC,3:04,2365,2400,1020,4.4,-4, 1:40,3.4,-3,10.7,1000,11,4.9,0.1,0
40,7,XBLOC,3:04,2365,2400,1020,3.8,-4, 1:40,4.8,-3,13.2,1000,11,5.9,0.1,0
41,8,XBLOC,3:04,2330,1800,1020,1.9,-7, 1:55,2,-5,13,1000,4.6,1.3,0.4,0
42,8,XBLOC,3:04,2330,1800,1020,2.7,-7, 1:55,2.8,-5,13.5,1000,4.6,1.55,0.4,0
43,8,XBLOC,3:04,2330,1800,1020,2.6,-7, 1:55,2.8,-5,13.5,1000,4.6,1.55,0.4,0
44,8,XBLOC,3:04,2330,1800,1020,2.7,-7, 1:55,2.8,-5,13.5,1000,4.6,1.55,0.4,0.2
45,8,XBLOC,3:04,2330,1800,1020,3.3,-7, 1:55,2.8,-5,13.5,1000,4.6,1.55,0.4,0
46,8,XBLOC,3:04,2330,1800,1020,4.1,-7, 1:55,2.8,-5,13.5,1000,4.6,1.55,0.4,0
47,9,HANBAR,2:03,2350,8300,1020,2.5033272,-9, 1:55,2.2577544,0,9,1000,17.7,7.8,0.1,0
48,9,HANBAR,2:03,2350,8300,1020,3.11817,-9, 1:55,2.82051,0,9,1000,17.7,7.8,0.1,0
49,9,HANBAR,2:03,2350,8300,1020,3.11817,-9, 1:55,2.82051,0,9,2000,17.7,7.8,0.1,0
50,9,HANBAR,2:03,2350,8300,1020,3.7091472,-9, 1:55,3.3288024,0,9,1000,17.7,7.8,0.1,1.081470021
51,9,HANBAR,2:03,2350,8300,1020,3.7091472,-9, 1:55,3.3288024,0,9,2000,17.7,7.8,0.1,1.622205031
52,9,HANBAR,2:03,2350,8300,1020,4.2762588,-9, 1:55,3.7826316,0,9,1000,17.7,7.8,0.1,2.855155125
53,9,HANBAR,2:03,2350,8300,1020,4.2762588,-9, 1:55,3.7826316,0,9,2000,17.7,7.8,0.1,2.855155125
54,9,HANBAR,2:03,2350,8300,1020,4.8195048,-9, 1:55,4.1819976,0,9,1000,17.7,7.8,0.1,2.582497895
55,9,HANBAR,2:03,2350,8300,1020,5.3388852,-9, 1:55,4.5269004,0,9,1000,17.7,7.8,0.1,2.783361436
56,9,HANBAR,2:03,2350,8300,1020,5.3388852,-9, 1:55,4.5269004,0,9,2000,17.7,7.8,0.1,2.783361436
57,9,HANBAR,2:03,2350,8300,1020,5.3388852,-9, 1:55,4.5269004,0,9,3000,17.7,7.8,0.1,2.783361436
58,9,HANBAR,2:03,2350,8300,1020,5.3388852,-9, 1:55,4.5269004,0,9,4000,17.7,7.8,0.1,3.180984499
59,9,HANBAR,2:03,2350,8300,1020,5.8344,-9, 1:55,4.81734,0,9,1000,17.7,7.8,0.1,2.98920151
60,9,HANBAR,2:03,2350,8300,1020,5.8344,-9, 1:55,4.81734,0,9,2000,17.7,7.8,0.1,3.362851698
61,9,HANBAR,2:03,2350,8300,1020,6.3060492,-9, 1:55,5.0533164,0,9,1000,17.7,7.8,0.1,3.562017213
62,9,HANBAR,2:03,2350,8300,1020,6.7538328,-9, 1:55,5.2348296,0,9,1000,17.7,7.8,0.1,3.782358073
63,9,HANBAR,2:03,2350,8300,1020,6.7538328,-9, 1:55,5.2348296,0,9,2000,17.7,7.8,0.1,4.470059541
64,9,HANBAR,2:03,2350,8300,1020,6.7538328,-9, 1:55,5.2348296,0,9,3000,17.7,7.8,0.1,5.501611743
65,9,HANBAR,2:03,2350,8300,1020,6.7538328,-9, 1:55,5.2348296,0,9,4000,17.7,7.8,0.1,6.533163945
66,9,HANBAR,2:03,2350,8300,1020,6.7538328,-9, 1:55,5.2348296,0,9,5000,17.7,7.8,0.1,6.877014679
67,9,HANBAR,2:03,2350,8300,1020,7.1777508,-9, 1:55,5.3618796,0,9,1000,17.7,7.8,0.1,7.385469827
68,9,HANBAR,2:03,2350,8300,1020,7.1777508,-9, 1:55,5.3618796,0,9,2000,17.7,7.8,0.1,8.392579348
69,9,HANBAR,2:03,2350,8300,1020,3.04887,-9, 1:55,2.88849,0,11,1000,17.7,7.8,0.1,1.246325935
70,9,HANBAR,2:03,2350,8300,1020,3.04887,-9, 1:55,2.88849,0,11,2000,17.7,7.8,0.1,1.246325935
71,9,HANBAR,2:03,2350,8300,1020,3.6575484,-9, 1:55,3.4403028,0,11,1000,17.7,7.8,0.1,1.046419519
72,9,HANBAR,2:03,2350,8300,1020,3.6575484,-9, 1:55,3.4403028,0,11,2000,17.7,7.8,0.1,1.046419519
73,9,HANBAR,2:03,2350,8300,1020,4.2522876,-9, 1:55,3.9337452,0,11,1000,17.7,7.8,0.1,2.287896023
74,9,HANBAR,2:03,2350,8300,1020,4.2522876,-9, 1:55,3.9337452,0,11,2000,17.7,7.8,0.1,2.287896023
75,9,HANBAR,2:03,2350,8300,1020,4.8330876,-9, 1:55,4.3688172,0,11,1000,17.7,7.8,0.1,3.708097469
76,9,HANBAR,2:03,2350,8300,1020,4.8330876,-9, 1:55,4.3688172,0,11,2000,17.7,7.8,0.1,4.120108298
77,9,HANBAR,2:03,2350,8300,1020,5.3999484,-9, 1:55,4.7455188,0,11,1000,17.7,7.8,0.1,4.930967716
78,9,HANBAR,2:03,2350,8300,1020,5.3999484,-9, 1:55,4.7455188,0,11,2000,17.7,7.8,0.1,5.689578134
79,9,HANBAR,2:03,2350,8300,1020,5.3999484,-9, 1:55,4.7455188,0,11,3000,17.7,7.8,0.1,7.20679897
80,9,HANBAR,2:03,2350,8300,1020,5.3999484,-9, 1:55,4.7455188,0,11,4000,17.7,7.8,0.1,7.20679897
81,9,HANBAR,2:03,2350,8300,1020,5.95287,-9, 1:55,5.06385,0,11,1000,17.7,7.8,0.1,7.464676086
82,9,HANBAR,2:03,2350,8300,1020,5.95287,-9, 1:55,5.06385,0,11,2000,17.7,7.8,0.1,7.464676086
83,9,HANBAR,2:03,2350,8300,1020,6.4918524,-9, 1:55,5.3238108,0,11,1000,17.7,7.8,0.1,7.438280865
84,9,HANBAR,2:03,2350,8300,1020,6.4918524,-9, 1:55,5.3238108,0,11,2000,17.7,7.8,0.1,7.77638454
85,9,HANBAR,2:03,2350,8300,1020,7.0168956,-9, 1:55,5.5254012,0,11,1000,17.7,7.8,0.1,7.818436786
86,9,HANBAR,2:03,2350,8300,1020,7.0168956,-9, 1:55,5.5254012,0,11,2000,17.7,7.8,0.1,7.818436786
87,9,HANBAR,2:03,2350,8300,1020,7.0168956,-9, 1:55,5.5254012,0,11,3000,17.7,7.8,0.1,8.144204986
88,9,HANBAR,2:03,2350,8300,1020,7.5279996,-9, 1:55,5.6686212,0,11,1000,17.7,7.8,0.1,9.208588501
89,9,HANBAR,2:03,2350,8300,1020,7.5279996,-9, 1:55,5.6686212,0,11,2000,17.7,7.8,0.1,9.208588501
90,9,HANBAR,2:03,2350,8300,1020,8.0251644,-9, 1:55,5.7534708,0,11,1000,17.7,7.8,0.1,9.385639013
91,9,HANBAR,2:03,2350,8300,1020,1.6596492,-9, 1:55,1.5698496,0,13,1000,17.7,7.8,0.1,0
92,9,HANBAR,2:03,2350,8300,1020,2.2469568,-9, 1:55,2.2091784,0,13,1000,17.7,7.8,0.1,1.629565091
93,9,HANBAR,2:03,2350,8300,1020,2.83173,-9, 1:55,2.80236,0,13,1000,17.7,7.8,0.1,2.56926305
94,9,HANBAR,2:03,2350,8300,1020,2.83173,-9, 1:55,2.80236,0,13,2000,17.7,7.8,0.1,2.56926305
95,9,HANBAR,2:03,2350,8300,1020,3.4139688,-9, 1:55,3.3493944,0,13,1000,17.7,7.8,0.1,4.299284671
96,9,HANBAR,2:03,2350,8300,1020,3.4139688,-9, 1:55,3.3493944,0,13,2000,17.7,7.8,0.1,4.299284671
97,9,HANBAR,2:03,2350,8300,1020,3.9936732,-9, 1:55,3.8502816,0,13,1000,17.7,7.8,0.1,5.142481007
98,9,HANBAR,2:03,2350,8300,1020,3.9936732,-9, 1:55,3.8502816,0,13,2000,17.7,7.8,0.1,5.142481007
99,9,HANBAR,2:03,2350,8300,1020,4.5708432,-9, 1:55,4.3050216,0,13,1000,17.7,7.8,0.1,5.435512797
100,9,HANBAR,2:03,2350,8300,1020,4.5708432,-9, 1:55,4.3050216,0,13,2000,17.7,7.8,0.1,5.435512797
101,9,HANBAR,2:03,2350,8300,1020,5.1454788,-9, 1:55,4.7136144,0,13,1000,17.7,7.8,0.1,7.255578649
102,9,HANBAR,2:03,2350,8300,1020,5.1454788,-9, 1:55,4.7136144,0,13,2000,17.7,7.8,0.1,7.637451209
103,9,HANBAR,2:03,2350,8300,1020,5.1454788,-9, 1:55,4.7136144,0,13,3000,17.7,7.8,0.1,8.01932377
104,9,HANBAR,2:03,2350,8300,1020,5.1454788,-9, 1:55,4.7136144,0,13,4000,17.7,7.8,0.1,8.01932377
105,9,HANBAR,2:03,2350,8300,1020,5.71758,-9, 1:55,5.07606,0,13,1000,17.7,7.8,0.1,7.446720488
106,9,HANBAR,2:03,2350,8300,1020,6.2871468,-9, 1:55,5.3923584,0,13,1000,17.7,7.8,0.1,8.011336932
107,9,HANBAR,2:03,2350,8300,1020,6.2871468,-9, 1:55,5.3923584,0,13,2000,17.7,7.8,0.1,8.345142637
108,9,HANBAR,2:03,2350,8300,1020,6.2871468,-9, 1:55,5.3923584,0,13,3000,17.7,7.8,0.1,8.345142637
109,9,HANBAR,2:03,2350,8300,1020,6.2871468,-9, 1:55,5.3923584,0,13,4000,17.7,7.8,0.1,9.012754048
110,9,HANBAR,2:03,2350,8300,1020,6.2871468,-9, 1:55,5.3923584,0,13,5000,17.7,7.8,0.1,9.346559754
111,9,HANBAR,2:03,2800,4300,1020,1.8646188,-9, 1:55,1.6405356,0,9,1000,17.7,7.8,0.1,0
112,9,HANBAR,2:03,2800,4300,1020,2.5033272,-9, 1:55,2.2577544,0,9,1000,17.7,7.8,0.1,0
113,9,HANBAR,2:03,2800,4300,1020,3.11817,-9, 1:55,2.82051,0,9,1000,17.7,7.8,0.1,1.081109911
114,9,HANBAR,2:03,2800,4300,1020,3.11817,-9, 1:55,2.82051,0,9,2000,17.7,7.8,0.1,1.081109911
115,9,HANBAR,2:03,2800,4300,1020,3.7091472,-9, 1:55,3.3288024,0,9,1000,17.7,7.8,0.1,1.83205907
116,9,HANBAR,2:03,2800,4300,1020,3.7091472,-9, 1:55,3.3288024,0,9,2000,17.7,7.8,0.1,1.83205907
117,9,HANBAR,2:03,2800,4300,1020,4.2762588,-9, 1:55,3.7826316,0,9,1000,17.7,7.8,0.1,1.612253921
118,9,HANBAR,2:03,2800,4300,1020,4.2762588,-9, 1:55,3.7826316,0,9,2000,17.7,7.8,0.1,1.880962908
119,9,HANBAR,2:03,2800,4300,1020,4.8195048,-9, 1:55,4.1819976,0,9,1000,17.7,7.8,0.1,1.701337594
120,9,HANBAR,2:03,2800,4300,1020,4.8195048,-9, 1:55,4.1819976,0,9,2000,17.7,7.8,0.1,1.701337594
121,9,HANBAR,2:03,2800,4300,1020,5.3388852,-9, 1:55,4.5269004,0,9,1000,17.7,7.8,0.1,1.571713337
122,9,HANBAR,2:03,2800,4300,1020,5.3388852,-9, 1:55,4.5269004,0,9,2000,17.7,7.8,0.1,1.571713337
123,9,HANBAR,2:03,2800,4300,1020,5.3388852,-9, 1:55,4.5269004,0,9,3000,17.7,7.8,0.1,2.02077429
124,9,HANBAR,2:03,2800,4300,1020,5.3388852,-9, 1:55,4.5269004,0,9,4000,17.7,7.8,0.1,2.02077429
125,9,HANBAR,2:03,2800,4300,1020,5.8344,-9, 1:55,4.81734,0,9,1000,17.7,7.8,0.1,1.898940897
126,9,HANBAR,2:03,2800,4300,1020,5.8344,-9, 1:55,4.81734,0,9,2000,17.7,7.8,0.1,1.898940897
127,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,1000,17.7,7.8,0.1,2.212546626
128,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,2000,17.7,7.8,0.1,2.614827831
129,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,3000,17.7,7.8,0.1,2.815968433
130,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,4000,17.7,7.8,0.1,3.218249638
131,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,5000,17.7,7.8,0.1,3.218249638
132,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,6000,17.7,7.8,0.1,3.821671445
133,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,7000,17.7,7.8,0.1,4.022812048
134,9,HANBAR,2:03,2800,4300,1020,6.3060492,-9, 1:55,5.0533164,0,9,8000,17.7,7.8,0.1,4.827374457
135,9,HANBAR,2:03,2800,4300,1020,1.7896956,-9, 1:55,1.6097532,0,11,1000,17.7,7.8,0.1,0
136,9,HANBAR,2:03,2800,4300,1020,2.4262524,-9, 1:55,2.2783068,0,11,1000,17.7,7.8,0.1,0
137,9,HANBAR,2:03,2800,4300,1020,2.4262524,-9, 1:55,2.2783068,0,11,2000,17.7,7.8,0.1,0
138,9,HANBAR,2:03,2800,4300,1020,3.04887,-9, 1:55,2.88849,0,11,1000,17.7,7.8,0.1,0.703777479
139,9,HANBAR,2:03,2800,4300,1020,3.04887,-9, 1:55,2.88849,0,11,2000,17.7,7.8,0.1,0.703777479
140,9,HANBAR,2:03,2800,4300,1020,3.6575484,-9, 1:55,3.4403028,0,11,1000,17.7,7.8,0.1,1.181787957
141,9,HANBAR,2:03,2800,4300,1020,3.6575484,-9, 1:55,3.4403028,0,11,2000,17.7,7.8,0.1,1.772681936
142,9,HANBAR,2:03,2800,4300,1020,4.2522876,-9, 1:55,3.9337452,0,11,1000,17.7,7.8,0.1,2.325479531
143,9,HANBAR,2:03,2800,4300,1020,4.2522876,-9, 1:55,3.9337452,0,11,2000,17.7,7.8,0.1,2.84225276
144,9,HANBAR,2:03,2800,4300,1020,4.2522876,-9, 1:55,3.9337452,0,11,3000,17.7,7.8,0.1,3.100639375
145,9,HANBAR,2:03,2800,4300,1020,4.8330876,-9, 1:55,4.3688172,0,11,1000,17.7,7.8,0.1,3.489824791
146,9,HANBAR,2:03,2800,4300,1020,4.8330876,-9, 1:55,4.3688172,0,11,2000,17.7,7.8,0.1,3.955134763
147,9,HANBAR,2:03,2800,4300,1020,4.8330876,-9, 1:55,4.3688172,0,11,3000,17.7,7.8,0.1,4.420444735
148,9,HANBAR,2:03,2800,4300,1020,4.8330876,-9, 1:55,4.3688172,0,11,4000,17.7,7.8,0.1,4.885754707
149,9,HANBAR,2:03,2800,4300,1020,4.8330876,-9, 1:55,4.3688172,0,11,5000,17.7,7.8,0.1,4.885754707
150,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,1000,17.7,7.8,0.1,5.140481271
151,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,2000,17.7,7.8,0.1,5.354667991
152,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,3000,17.7,7.8,0.1,5.78304143
153,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,4000,17.7,7.8,0.1,6.425601589
154,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,5000,17.7,7.8,0.1,7.068161748
155,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,6000,17.7,7.8,0.1,7.282348467
156,9,HANBAR,2:03,2800,4300,1020,5.3999484,-9, 1:55,4.7455188,0,11,7000,17.7,7.8,0.1,7.710721907
157,9,HANBAR,2:03,2800,4300,1020,1.6596492,-9, 1:55,1.5698496,0,13,1000,17.7,7.8,0.1,0.647467824
158,9,HANBAR,2:03,2800,4300,1020,2.2469568,-9, 1:55,2.2091784,0,13,1000,17.7,7.8,0.1,0.920185626
159,9,HANBAR,2:03,2800,4300,1020,2.2469568,-9, 1:55,2.2091784,0,13,2000,17.7,7.8,0.1,0.920185626
160,9,HANBAR,2:03,2800,4300,1020,2.2469568,-9, 1:55,2.2091784,0,13,3000,17.7,7.8,0.1,0.920185626
161,9,HANBAR,2:03,2800,4300,1020,2.83173,-9, 1:55,2.80236,0,13,1000,17.7,7.8,0.1,1.813519863
162,9,HANBAR,2:03,2800,4300,1020,2.83173,-9, 1:55,2.80236,0,13,2000,17.7,7.8,0.1,2.176223836
163,9,HANBAR,2:03,2800,4300,1020,2.83173,-9, 1:55,2.80236,0,13,3000,17.7,7.8,0.1,2.538927808
164,9,HANBAR,2:03,2800,4300,1020,2.83173,-9, 1:55,2.80236,0,13,4000,17.7,7.8,0.1,2.538927808
165,9,HANBAR,2:03,2800,4300,1020,3.4139688,-9, 1:55,3.3493944,0,13,1000,17.7,7.8,0.1,2.427727483
166,9,HANBAR,2:03,2800,4300,1020,3.4139688,-9, 1:55,3.3493944,0,13,2000,17.7,7.8,0.1,2.427727483
167,9,HANBAR,2:03,2800,4300,1020,3.9936732,-9, 1:55,3.8502816,0,13,1000,17.7,7.8,0.1,2.111901851
168,9,HANBAR,2:03,2800,4300,1020,3.9936732,-9, 1:55,3.8502816,0,13,2000,17.7,7.8,0.1,2.375889582
169,9,HANBAR,2:03,2800,4300,1020,3.9936732,-9, 1:55,3.8502816,0,13,3000,17.7,7.8,0.1,2.639877314
170,9,HANBAR,2:03,2800,4300,1020,3.9936732,-9, 1:55,3.8502816,0,13,4000,17.7,7.8,0.1,2.903865045
171,9,HANBAR,2:03,2800,4300,1020,4.5708432,-9, 1:55,4.3050216,0,13,1000,17.7,7.8,0.1,3.069334742
172,9,HANBAR,2:03,2800,4300,1020,4.5708432,-9, 1:55,4.3050216,0,13,2000,17.7,7.8,0.1,3.069334742
173,9,HANBAR,2:03,2800,4300,1020,4.5708432,-9, 1:55,4.3050216,0,13,3000,17.7,7.8,0.1,3.069334742
174,9,HANBAR,2:03,2800,4300,1020,4.5708432,-9, 1:55,4.3050216,0,13,4000,17.7,7.8,0.1,3.541540087
175,9,HANBAR,2:03,2800,4300,1020,4.5708432,-9, 1:55,4.3050216,0,13,5000,17.7,7.8,0.1,3.777642759
176,9,HANBAR,2:03,2800,4300,1020,5.1454788,-9, 1:55,4.7136144,0,13,1000,17.7,7.8,0.1,3.450183298
177,9,HANBAR,2:03,2800,4300,1020,5.1454788,-9, 1:55,4.7136144,0,13,2000,17.7,7.8,0.1,3.665819754
178,9,HANBAR,2:03,2800,4300,1020,5.1454788,-9, 1:55,4.7136144,0,13,3000,17.7,7.8,0.1,4.097092666
179,9,HANBAR,2:03,2800,4300,1020,5.1454788,-9, 1:55,4.7136144,0,13,4000,17.7,7.8,0.1,4.312729122
180,9,HANBAR,2:03,2800,4300,1020,5.71758,-9, 1:55,5.07606,0,13,1000,17.7,7.8,0.1,4.405266349
181,9,HANBAR,2:03,2800,4300,1020,5.71758,-9, 1:55,5.07606,0,13,2000,17.7,7.8,0.1,4.405266349
182,9,HANBAR,2:03,2800,4300,1020,5.71758,-9, 1:55,5.07606,0,13,3000,17.7,7.8,0.1,5.606702626
183,9,HANBAR,2:03,2800,4300,1020,5.71758,-9, 1:55,5.07606,0,13,4000,17.7,7.8,0.1,5.606702626
184,9,HANBAR,2:03,2800,4300,1020,5.71758,-9, 1:55,5.07606,0,13,5000,17.7,7.8,0.1,5.806942006
185,9,HANBAR,2:03,2800,4300,1020,6.2871468,-9, 1:55,5.3923584,0,13,1000,17.7,7.8,0.1,5.466325465
186,9,HANBAR,2:03,2800,4300,1020,6.2871468,-9, 1:55,5.3923584,0,13,2000,17.7,7.8,0.1,6.220301391
187,9,HANBAR,2:03,2800,4300,1020,6.2871468,-9, 1:55,5.3923584,0,13,3000,17.7,7.8,0.1,7.35126528
188,9,HANBAR,2:03,2800,4300,1020,6.2871468,-9, 1:55,5.3923584,0,13,4000,17.7,7.8,0.1,7.539759262
189,9,HANBAR,2:03,2350,4300,1020,0.5044314,-9, 1:55,0.336678223,0,11,1000,13.5,8,0.4,0
190,9,HANBAR,2:03,2350,4300,1020,1.6503234,-9, 1:55,1.003131386,0,11,1000,13.5,8,0.4,0.980392157
191,9,HANBAR,2:03,2350,4300,1020,2.2232694,-9, 1:55,1.362973445,0,11,1000,13.5,8,0.4,3.594771242
192,9,HANBAR,2:03,2350,4300,1020,2.2232694,-9, 1:55,1.362973445,0,11,2000,13.5,8,0.4,4.248366013
193,9,HANBAR,2:03,2350,4300,1020,2.7962154,-9, 1:55,1.7199171,0,11,1000,13.5,8,0.4,4.248366013
194,9,HANBAR,2:03,2350,4300,1020,2.7962154,-9, 1:55,1.7199171,0,11,2000,13.5,8,0.4,6.535947712
195,9,HANBAR,2:03,2350,4300,1020,2.7962154,-9, 1:55,1.7199171,0,11,3000,13.5,8,0.4,7.843137255
196,9,HANBAR,2:03,2350,4300,1020,2.7962154,-9, 1:55,1.7199171,0,11,4000,13.5,8,0.4,8.823529412
197,9,HANBAR,2:03,2350,4300,1020,3.3691614,-9, 1:55,2.058480811,0,11,1000,13.5,8,0.4,13.7254902
198,9,HANBAR,2:03,2350,4300,1020,3.3691614,-9, 1:55,2.058480811,0,11,2000,13.5,8,0.4,17.32026144
199,9,HANBAR,2:03,2350,4300,1020,3.3691614,-9, 1:55,2.058480811,0,11,3000,13.5,8,0.4,20.58823529
200,9,HANBAR,2:03,2350,4300,1020,1.0773774,-9, 1:55,0.655872466,0,13,1000,13.5,8,0.4,0
201,9,HANBAR,2:03,2350,4300,1020,1.3638504,-9, 1:55,0.826961437,0,13,1000,13.5,8,0.4,0
202,9,HANBAR,2:03,2350,4300,1020,1.6503234,-9, 1:55,1.003131386,0,13,1000,13.5,8,0.4,0
203,9,HANBAR,2:03,2350,4300,1020,1.6503234,-9, 1:55,1.003131386,0,13,2000,13.5,8,0.4,0
204,9,HANBAR,2:03,2350,4300,1020,1.9367964,-9, 1:55,1.18244712,0,13,1000,13.5,8,0.4,0.980392157
205,9,HANBAR,2:03,2350,4300,1020,1.9367964,-9, 1:55,1.18244712,0,13,2000,13.5,8,0.4,2.614379085
206,9,HANBAR,2:03,2350,4300,1020,1.9367964,-9, 1:55,1.18244712,0,13,3000,13.5,8,0.4,3.267973856
207,9,HANBAR,2:03,2350,4300,1020,2.2232694,-9, 1:55,1.362973445,0,13,1000,13.5,8,0.4,6.535947712
